program_id,program_name,funder_type,agency_or_funder,cfda_number,funds_what,eligible_applicant_types,requires_government_intermediary,requires_match_funding,geography_scope,sector_tags,typical_award_size,notes,source_url
usda_farmers_market,Farmers Market Promotion Program / Local Food Promotion Program,federal,USDA,10.168|10.169,direct_project,nonprofit_501c3|local_government|agricultural_cooperative,FALSE,FALSE,national,food_security|rural_economic_development,small_to_medium (<$1M),"Direct match for Heart to Heart Foundation's Farmers Across America program.",https://www.ams.usda.gov/services/grants/fmpp
doe_weatherization,Weatherization Assistance for Low-Income Persons,federal,DOE,81.042,direct_project,state|community_action_nonprofit|nonprofit_501c3,TRUE,FALSE,national,green_infrastructure|energy,small_to_medium (<$1M),"Flows through state agencies to local community action nonprofits - an accessible, well-trodden government-intermediary pathway.",https://www.energy.gov/scep/wap/weatherization-assistance-program
doe_grid_resilience,Grid Infrastructure Deployment and Resilience,federal,DOE,81.254,direct_project,state|territory|tribal_government|utility,TRUE,TRUE,national,green_infrastructure|hazard_mitigation,large ($1M+),"Not a fit for small nonprofits; relevant to private green-infrastructure developments via state-level matching (e.g. Babcock Ranch-style projects).",https://www.energy.gov/gdo/grid-resilience-and-innovation-partnerships-grip-program
bush_foundation_ci,Community Innovation Grants,private_foundation,Bush Foundation,,both,nonprofit_501c3|government_entity|coalition,FALSE,FALSE,mn_nd_sd_plus_23_tribal_nations,community_innovation|economic_development,uncapped,"No funding cap, rolling applications, explicit preference for community-led/rural orgs. Confirmed real-world fit: Emerging Prairie.",https://www.bushfoundation.org/community-innovation-application-criteria/
roddenberry_foundation,Roddenberry Foundation grants,private_foundation,Roddenberry Foundation,,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,humanitarian|disaster_recovery,unknown,"Named client/funder of IHS-I's international humanitarian and resilience work. Tag normalized from 'disaster_resilience' to 'disaster_recovery' 2026-06-26 - it was the only row in the table using that synonym, silently invisible to any query using the standard tag.",https://www.roddenberryfoundation.org/
local_infra_hub,Local Infrastructure Hub,private_foundation,Bloomberg Philanthropies|Emerson Collective|Ford Foundation|Kresge Foundation,,application_assistance,local_government,FALSE,FALSE,national,grant_readiness|infrastructure,n/a (technical assistance not direct funding),"Funds the *application-assistance* layer - helps cities write competitive applications for federal infrastructure/resilience grants (BRIC/IIJA-style), does not fund projects directly.",https://kresge.org/news-views/major-philanthropic-effort-launched-to-help-u-s-cities-access-federal-infrastructure-funding/
adaptation_resilience_fund,Adaptation and Resilience Fund,private_foundation,ClimateWorks Foundation|Rockefeller Foundation|Howden Foundation|Laudes Foundation|Quadrature Climate Foundation,,direct_project,community_organization|local_government|international_ngo,FALSE,FALSE,international_frontline_communities,climate_adaptation|community_resilience,unknown,"Direct funding to frontline/low-and-middle-income communities (early warning systems, financial tools), not an application-assistance program.",https://www.climateworks.org/programs/adaptation-and-resilience/fund/
onr_global,ONR Global Funding Opportunities,defense_international,Office of Naval Research,,direct_project,international_ngo|higher_ed|foreign_government_entity,FALSE,FALSE,international,climate_adaptation|research,unknown,"Funding mechanism behind IHS-I's KASL (Marshall Islands). Outside USAspending's domestic scope entirely since the recipient geography is a foreign sovereign nation.",https://www.onr.navy.mil/organization/onr-global/funding-opportunities
fema_flood_mitigation_assistance,Flood Mitigation Assistance,federal,FEMA,97.029,direct_project,state|local_government|tribal_government|territory|nonprofit_501c3|individual|for_profit_business,TRUE,TRUE,national,hazard_mitigation|disaster_recovery,medium ($100K-1M),"Same FEMA Hazard Mitigation Assistance family as BRIC/HMGP - nonprofits/individuals/businesses cannot apply directly, must go through an eligible state/tribal sub-applicant. 628 awards/10yr in our data, median $242,766, state government dominant recipient type - confirms the pattern empirically.",https://www.fema.gov/grants/mitigation/learn/flood-mitigation-assistance
fema_empg,Emergency Management Performance Grants,federal,FEMA,97.042,direct_project,state|local_government,FALSE,TRUE,national,disaster_recovery|hazard_mitigation,large ($1M+),"Funds state/local emergency management agency operations and capacity directly - no nonprofit pathway at all, not even via intermediary (this funds government EM agencies themselves, not a competitive project grant). 834 awards/10yr, state government dominant. Relevant context for understanding who builds local disaster-response capacity, not a nonprofit funding source.",https://www.fema.gov/grants/preparedness/emergency-management-performance
doi_tribal_climate_resilience,Tribal Climate Resilience,federal,Department of the Interior,15.156,direct_project,tribal_government,FALSE,FALSE,national,climate_adaptation|hazard_mitigation,small_to_medium (<$1M),"Direct tribal-government eligibility, no intermediary needed. 546 awards/10yr, median $112,326, federally-recognized tribal governments dominant recipient type. Fills the tribal-specific resilience gap in this table.",https://www.bia.gov/service/climate-resilience-grants
treasury_cdfi_erp,CDFI Equitable Recovery Program,federal,CDFI Fund (Treasury),21.033,direct_project,certified_cdfi|nonprofit_501c3|for_profit_business,FALSE,FALSE,national,economic_development|disaster_recovery,large ($1M+),"Eligibility gate is CDFI CERTIFICATION status (from the CDFI Fund), not organization type directly - both nonprofit and for-profit CDFIs are eligible once certified. 604 awards/10yr, median $2.48M, nonprofit 501c3 dominant recipient type. Direct nonprofit pathway once certified, no government intermediary.",https://www.cdfifund.gov/programs-training/programs/erp
usda_ewp,Emergency Watershed Protection Program,federal,USDA NRCS,10.923,direct_project,local_government|tribal_government|nonprofit_501c3|individual|for_profit_business,TRUE,TRUE,national,disaster_recovery|hazard_mitigation,small_to_medium (<$1M),"Eligible sponsors are cities/counties/towns/conservation districts/tribes only - nonprofits and private landowners (including forestland owners) must work through one of these as sponsor, same pathway pattern as BRIC/FMA. NRCS pays up to 75%, sponsor covers 25% (cash or in-kind) - this IS the match-funding requirement. Directly relevant to debris removal/streambank stabilization after disasters (Woodlands Mission-style needs) on a 60-day request window post-disaster.",https://www.nrcs.usda.gov/programs-initiatives/emergency-watershed-protection
usfs_cooperative_forestry,Cooperative Forestry Assistance,federal,USDA Forest Service,10.664,direct_project,state|nonprofit_501c3|higher_ed|local_government,FALSE,TRUE,national,disaster_recovery|hazard_mitigation|green_infrastructure,large ($1M+),"Largest single forestry CFDA ($2.39B/10yr in our data). State govt dominant but 467 of ~2,300 awards went directly to 501c3 nonprofits - real direct-nonprofit pathway, not government-only despite the 'State and Private Forestry' framing.",https://www.fs.usda.gov/working-with-us/grants
usfs_hazardous_fuel_reduction,State & Private Forestry Hazardous Fuel Reduction Program,federal,USDA Forest Service,10.697,direct_project,state|local_government,TRUE,TRUE,national,hazard_mitigation|disaster_recovery,medium ($100K-1M),"Almost entirely state-government recipients in our data (211 of ~258) - private landowners and nonprofits work through the state forestry agency, not directly. Matches the NC/TN Forest Service partnership pattern in real inbound requests (Appalachia Woodlands Mission, 2026-06).",https://www.fs.usda.gov/managing-land/forest-management/products/hazardous-fuels-transport-assist-grants
usfs_wood_utilization,Wood Utilization Assistance,federal,USDA Forest Service,10.674,direct_project,for_profit_business|small_business|nonprofit_501c3|higher_ed,FALSE,FALSE,national,green_infrastructure|economic_development,small_to_medium (<$1M),"For-profit (229) and small business (187) dominant in our data - this is the program that funds turning byproduct/disaster wood into sellable product (biochar, pressboard, mulch, lumber). Direct fit for industry-partnership asks, not government-intermediary.",https://www.fs.usda.gov/science-technology/energy-forest-products/wood-innovation
usfs_cooperative_fire_assistance,State & Private Forestry Cooperative Fire Assistance,federal,USDA Forest Service,10.698,direct_project,state|nonprofit_501c3,TRUE,TRUE,national,hazard_mitigation|disaster_recovery,medium ($100K-1M),"State govt (495) + nonprofit (77) in our data. Private-land fire-risk-mitigation specific - the wildfire-risk-on-private-land counterpart to hazardous fuel reduction.",https://www.fs.usda.gov/managing-land/fire/grants
ifdngo_ricce,RICCE (Institute for Democratic Training),federal,Economic Development Administration (EDA)|IFDN GO,,application_assistance,nonprofit_501c3,FALSE,FALSE,puerto_rico_usvi,grant_readiness|economic_development,n/a (technical assistance not direct funding),"EDA-funded capacity-building program for PR/USVI nonprofits - free training, mentorship, technical support to access federal funding. Same application-assistance category as Local Infrastructure Hub, but territory-specific - fills the territory gap this table previously lacked. cfda_number cleared 2026-06-26 (was the placeholder '11.x') for consistency with its sibling application_assistance rows (local_infra_hub, tribal_resource_center), which correctly leave it blank since application_assistance rows never get scored against precedent data - the CFDA field is irrelevant here, not just unconfirmed.",https://ifdngo.org/en/programs/ricce/
ntia_tribal_broadband,Tribal Broadband Connectivity Program,federal,NTIA (Department of Commerce),11.029,direct_project,tribal_government,FALSE,FALSE,national,green_infrastructure|economic_development,large ($1M+),"Direct tribal-government eligibility, no intermediary needed. 276 awards/10yr, median $1.22M, federally-recognized + non-federally-recognized tribal governments dominant recipient type. Tribal Resource Center (tribalresourcecenter.com, volunteer nonprofit) is the application-assistance/capacity-building layer for this program, not a funder itself - same category as RICCE/Local Infrastructure Hub.",https://www.ntia.gov/program/tribal-broadband-connectivity-program
tribal_resource_center,Tribal Resource Center (broadband capacity-building),private_foundation,Tribal Resource Center,,application_assistance,tribal_government,FALSE,FALSE,national,grant_readiness|green_infrastructure,n/a (technical assistance not direct funding),"Volunteer-run nonprofit hub for tribal broadband adoption - training, bootcamps, help desk, network planning guidance. Not a funder; helps tribes pursue programs like the Tribal Broadband Connectivity Program (ntia_tribal_broadband) and similar. Same application-assistance category as Local Infrastructure Hub and RICCE.",https://tribalresourcecenter.com/
usaid_omnibus,USAID Foreign Assistance for Programs Overseas,federal,USAID,98.001,direct_project,nonprofit_501c3|higher_ed|international_ngo|for_profit_business,FALSE,FALSE,international,disaster_recovery|humanitarian|international_development|infrastructure,large ($1M+),"The broad omnibus CFDA covering most USAID grant/cooperative-agreement activity - 11,522 awards/10yr in our data, median $2.39M, US-based 501c3 nonprofits dominant recipient type (4,624 of top-3). This is the single most relevant program for a US university/NGO team proposing disaster reconstruction or recovery work abroad (e.g. post-earthquake infrastructure/community recovery) - direct application, no government intermediary. Country-level precedent should be checked separately (see get_country_precedent in grant_analyzer.py) since USAID priorities are country/crisis-specific and shift with foreign policy.",https://www.usaid.gov/work-usaid/get-grant-or-contract
usaid_food_for_peace_ep,Food for Peace Emergency Program (EP),federal,USAID,98.008,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,humanitarian|disaster_recovery|food_security,medium ($100K-1M),"Emergency food assistance following acute crises (conflict, natural disaster) - 414 awards/10yr, median $257,486, nonprofit 501c3 dominant. Directly relevant to the immediate-aftermath phase of a disaster response, distinct from usaid_food_for_peace_dap's longer development-assistance horizon.",https://www.usaid.gov/foreign-disaster-assistance
usaid_food_for_peace_dap,Food for Peace Development Assistance Program (DAP),federal,USAID,98.007,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,humanitarian|food_security|disaster_recovery,large ($1M+),"Longer-horizon food security/resilience programming (multi-year), not acute emergency response - 323 awards/10yr, median $7.7M, nonprofit 501c3 dominant. Fits a mid-to-long-term recovery framing (e.g. rebuilding agricultural/food-system capacity after a disaster) rather than immediate relief.",https://www.usaid.gov/foreign-disaster-assistance
usaid_asha,Foreign Assistance to American Schools and Hospitals Abroad (ASHA),federal,USAID,98.006,direct_project,nonprofit_501c3|higher_ed,FALSE,FALSE,international,infrastructure|disaster_recovery|higher_ed_partnership,medium ($100K-1M),"Funds construction/rehabilitation/equipping of American-sponsored schools, libraries, and hospitals abroad - 383 awards/10yr, median $650,000, nonprofit 501c3 dominant (284 of top-3). Direct fit for rebuilding/equipping educational or medical infrastructure damaged in a disaster, if the institution has an American-sponsorship link.",https://www.usaid.gov/asha
usaid_gda,Global Development Alliance,federal,USAID,98.011,direct_project,nonprofit_501c3|for_profit_business|higher_ed,FALSE,TRUE,international,international_development|economic_development|public_private_partnership,large ($1M+),"USAID's public-private partnership model - explicitly requires a private-sector/commercial cost-share contribution as the core design principle, not an optional add-on. 122 awards/10yr, median $2.81M, nonprofit 501c3 dominant but for-profit organizations are the #2 recipient type (14 of top-3) - the only program in this table where bringing a commercial partner to the table is structurally required rather than just helpful.",https://www.usaid.gov/work-usaid/partnership-opportunities/global-development-alliance
usaid_cdp,Cooperative Development Program (CDP),federal,USAID,98.002,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,economic_development|international_development|community_resilience,large ($1M+),"Funds cooperative business development (agricultural, financial, etc.) as a community economic-resilience mechanism - 117 awards/10yr, median $6.4M, nonprofit 501c3 dominant. Relevant to a 'build enduring local capacity' framing of reconstruction rather than direct infrastructure repair.",https://www.usaid.gov/work-usaid/partnership-opportunities/cooperative-development-program
usaid_ngo_strengthening,Non-Governmental Organization Strengthening (NGO),federal,USAID,98.004,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,capacity_building|international_development|community_resilience,large ($1M+),"Funds capacity-building of LOCAL (in-country) NGOs/civil-society organizations, not the US applicant's own capacity - 64 awards/10yr, median $6.76M, nonprofit 501c3 dominant. The closest direct fit in this table for an explicit 'building enduring local capacity going forward' mandate, as distinct from physical-infrastructure repair programs.",https://www.usaid.gov/work-usaid/partnership-opportunities
usaid_icb,Institutional Capacity Building (ICB),federal,USAID,98.005,direct_project,nonprofit_501c3|international_ngo|for_profit_business,FALSE,FALSE,international,capacity_building|international_development,large ($1M+),"Sister program to NGO Strengthening, broader institutional scope (not NGO-specific) - 23 awards/10yr, median $2.78M, nonprofit 501c3 dominant, for-profit organizations present (3 of top-3). Smaller award count than NGO Strengthening - check current solicitation activity before relying on this as a primary pathway.",https://www.usaid.gov/work-usaid/partnership-opportunities
usaid_university_partnerships,USAID Development Partnerships for University Cooperation and Development,federal,USAID,98.012,direct_project,higher_ed,FALSE,FALSE,international,higher_ed_partnership|international_development|capacity_building,large ($1M+),"The one USAID program in this table where higher-ed institutions are the dominant recipient type, not nonprofits - 42 awards/10yr, median $8.58M, private institutions of higher education (12) and public/state-controlled institutions (8) lead the recipient breakdown. Direct structural fit for a university-led team (e.g. a GMU/Mason-style proposal) - confirmed no George Mason University awards under any 98.x code in our 10-year pull, so a Mason team would be a first-time USAID applicant under this program, not building on prior award history.",https://www.usaid.gov/work-usaid/partnership-opportunities
dos_overseas_refugee_western_hemisphere,Overseas Refugee Assistance Programs for Western Hemisphere,federal,Department of State,19.518,direct_project,nonprofit_501c3|international_ngo,FALSE,FALSE,international,humanitarian|international_development,large ($1M+),"Added 2026-06-26 as the State Department track filling USAID's gap (see usaid_omnibus's parallel note - USAID has zero live Grants.gov postings agency-wide as of 2026-06-26; State absorbed its foreign-assistance function in 2025). 351 awards/10yr, median $1.997M, nonprofit 501c3 dominant (205 of top-3). Confirmed real Venezuela-specific precedent: 13 awards with place of performance in Venezuela, $40.2M total - the strongest country-specific precedent found for this scenario, stronger than several usaid_* rows.",https://www.state.gov/bureaus-offices/under-secretary-for-civilian-security-democracy-and-human-rights/bureau-of-population-refugees-and-migration/
dos_western_hemisphere_affairs,Bureau of Western Hemisphere Affairs (WHA) Grant Programs (incl. Energy and Climate Partnership for the Americas),federal,Department of State,19.750,direct_project,nonprofit_501c3|higher_ed,FALSE,FALSE,international,disaster_recovery|infrastructure|international_development|capacity_building,medium ($100K-1M),"Regionally-targeted State Department bureau covering Latin America/Caribbean specifically (not a global omnibus like usaid_omnibus) - 175 awards/10yr, median $250,000, nonprofit 501c3 dominant, private higher-ed present. Confirmed real Venezuela-specific precedent: 2 awards with place of performance in Venezuela, $26.2M total. The energy/climate-partnership framing fits an infrastructure-rebuild angle (power grid resilience) well.",https://www.state.gov/bureau-of-western-hemisphere-affairs/
dos_conflict_stabilization_operations,Conflict and Stabilization Operations,federal,Department of State,19.121,direct_project,nonprofit_501c3|for_profit_business,FALSE,FALSE,international,capacity_building|community_resilience|international_development,medium ($100K-1M),"Fits a 'building enduring local capacity' / fragile-state-stabilization framing distinct from physical-infrastructure repair - 31 awards/10yr, median $443,925, nonprofit 501c3 and for-profit recipients roughly split. No Venezuela-specific award found yet in our 10-year pull (0 of 31) - real program, but no direct country precedent the way dos_overseas_refugee_western_hemisphere/dos_western_hemisphere_affairs have.",https://www.state.gov/bureau-of-conflict-and-stabilization-operations/
dos_environmental_scientific_partnerships,Environmental and Scientific Partnerships and Programs,federal,Department of State,19.017,direct_project,nonprofit_501c3|higher_ed,FALSE,FALSE,international,international_development|research|capacity_building,medium ($100K-1M),"Best fit in this table for an AI/data-analytics/technical-partnership angle specifically (the email's 'bringing AI and data analytics to the reconstruction effort' line) - 436 awards/10yr, median $241,838, nonprofit 501c3 dominant, private higher-ed present. No Venezuela-specific award found yet in our 10-year pull (0 of 436) - real program, no direct country precedent yet.",https://www.state.gov/bureau-of-oceans-and-international-environmental-and-scientific-affairs/
dos_global_partnership_initiative,Secretary's Office of the Global Partnership Initiative (S/GPI) Grant Programs,federal,Department of State,19.301,direct_project,individual|nonprofit_501c3|for_profit_business,FALSE,FALSE,international,public_private_partnership|economic_development|international_development,small_to_medium (<$1M),"State's public-private-partnership mechanism (the 'commercial partners' angle from the email) - but the real recipient data is INDIVIDUAL-dominated (217 of 245 awards), not organizational, and median award is only ~$1,017 (mostly small individual grants, not institutional projects). Listed for completeness since the partnership framing matches, but this is a weak structural fit for a university-led team proposal - verify the actual current program design before relying on it.",https://www.state.gov/bureaus-offices/under-secretary-for-economic-growth-energy-and-the-environment/office-of-the-secretarys-special-representative-for-global-partnerships/
hud_esg,Emergency Solutions Grant Program,federal,HUD,14.231,direct_project,state|local_government|nonprofit_501c3,TRUE,FALSE,national,disaster_recovery|housing|community_resilience,medium ($100K-1M),"HUD formula entitlement program (homeless shelter/services funding) - 4,747 awards/10yr, median $288,247, state government (1,303) and city/township government (150) are the identifiable direct grantees; the plurality 'OTHER' classification (3,292) reflects HUD's entitlement-community recipient coding quirk, the same pattern seen in hud_cdbg_dr. Nonprofits access this almost entirely as subrecipients of a state/local entitlement grantee's plan, not as direct applicants - same government-intermediary pathway as CDBG-DR.",https://www.hud.gov/program_offices/comm_planning/esg
dhs_safer,Staffing for Adequate Fire and Emergency Response (SAFER),federal,DHS (FEMA Grant Programs),97.083,direct_project,local_government|state|nonprofit_501c3,FALSE,FALSE,national,disaster_recovery|hazard_mitigation|community_resilience,medium ($100K-1M),"Sister program to the Assistance to Firefighters Grant family, funds fire department staffing/recruitment/retention directly - 3,583 awards/10yr, median $380,760, almost entirely city/township (3,117) and county (299) government fire departments. Nonprofit volunteer fire companies are formally eligible per FEMA's program rules, but essentially absent from the real top-3 recipient data (0 of top 3) - treat the nonprofit pathway as eligible-on-paper, not evidenced in practice.",https://www.fema.gov/grants/preparedness/firefighters/safer
treasury_cdfi_program,Community Development Financial Institutions Program,federal,CDFI Fund (Treasury),21.020,direct_project,certified_cdfi|nonprofit_501c3|for_profit_business,FALSE,TRUE,national,economic_development|community_resilience,medium ($100K-1M),"The parent/standing program behind treasury_cdfi_erp (which was a one-time COVID-era recovery award that waived match) - 2,979 awards/10yr, median $525,000, nonprofit 501c3 dominant (1,450), for-profit CDFIs present (314). Same CDFI-certification eligibility gate as ERP, but the standing Financial Assistance award component carries a statutory 1:1 non-federal match requirement that ERP did not - this is the real, ongoing version of the program, not a disaster-specific one-off.",https://www.cdfifund.gov/programs-training/programs/cdfi-program
hhs_refugee_state_administered,Refugee and Entrant Assistance State/Replacement Designee Administered Programs,federal,HHS (Administration for Children and Families),93.566,direct_project,state|nonprofit_501c3,TRUE,FALSE,national,humanitarian,large ($1M+),"Funds refugee resettlement/integration services (job placement, English language, case management) for refugees already admitted to the US - domestic resettlement support, distinct from dos_overseas_refugee_western_hemisphere's overseas-country funding. 2,324 awards/10yr, median $2.17M, state government dominant (1,077), nonprofit 501c3 present (780) - states administer this by default, but a small number of states delegate to a nonprofit 'Replacement Designee' that becomes the direct prime recipient instead. Most nonprofits access this as a state subrecipient, not directly.",https://www.acf.hhs.gov/orr/programs/refugee-assistance
hhs_refugee_discretionary,Refugee and Entrant Assistance Discretionary Grants,federal,HHS (Administration for Children and Families),93.576,direct_project,nonprofit_501c3|state,FALSE,FALSE,national,humanitarian,medium ($100K-1M),"Direct competitive grants to service providers (not the state-administered formula program) - 1,077 awards/10yr, median $555,933, nonprofit 501c3 dominant (571). No government intermediary required - this is the direct-to-nonprofit pathway in the refugee-assistance family, complementing hhs_refugee_state_administered's mostly-government-first pathway.",https://www.acf.hhs.gov/orr/programs/refugee-assistance
doi_earthquake_hazards,Earthquake Hazards Program Assistance,federal,Department of the Interior (USGS),15.807,direct_project,higher_ed|state,FALSE,FALSE,national,hazard_mitigation|research|disaster_recovery,small_to_medium (<$1M),"USGS seismic research/monitoring funding (e.g. Advanced National Seismic System network, hazard-mapping research) - 1,017 awards/10yr, median $69,585 (small research-grant scale, not large infrastructure money), public/state-controlled higher ed dominant (535), private higher ed present (140). Direct fit for a university's seismic-hazard/data-analytics research angle specifically - domestic earthquake research, not Venezuela-specific, but relevant precedent for a university team's general earthquake-science capacity narrative.",https://www.usgs.gov/programs/earthquake-hazards
hud_lead_hazard_reduction,Lead Hazard Reduction Grant Program,federal,HUD,14.900,direct_project,state|local_government,FALSE,FALSE,national,housing|hazard_mitigation,large ($1M+),"Government-only program in practice - 1,001 awards/10yr, median $2M, state (295) and city/township (289) government dominant the identifiable categories (plurality 'OTHER' (417) again reflects HUD's entitlement-coding quirk). No nonprofit pathway modeled here, direct or via intermediary - same treatment as fema_empg, where the real recipient data shows essentially no nonprofit access at all.",https://www.hud.gov/program_offices/healthy_homes/lhc
dot_national_infrastructure_investments,National Infrastructure Investments (RAISE/BUILD),federal,DOT,20.933,direct_project,state|local_government|tribal_government,FALSE,FALSE,national,infrastructure|disaster_recovery,large ($1M+),"DOT's flagship discretionary infrastructure grant program (RAISE/BUILD) - 960 awards/10yr, median $7.09M (largest median award size in this table), state (551) and city/township (147) government dominant. No nonprofit pathway - eligible applicants are state/local/tribal governments, transit agencies, and port authorities, not nonprofits or universities. Relevant as precedent context for a government-partner pathway on the infrastructure-rebuild angle, not a direct university/nonprofit fit.",https://www.transportation.gov/RAISEgrants
hhs_public_health_emergency_response,Public Health Emergency Response Cooperative Agreement,federal,HHS,93.354,direct_project,state|nonprofit_501c3,FALSE,FALSE,national,disaster_recovery|humanitarian|community_resilience,large ($1M+),"1,535 awards/10yr, median $5.91M, state government dominant (683) but nonprofit 501c3 is a meaningful #2 (295 of top-3) - direct nonprofit access is real here, not just government-intermediary.",https://www.hhs.gov/
hud_indian_cdbg,Indian Community Development Block Grant Program,federal,HUD,14.862,direct_project,tribal_government,FALSE,FALSE,national,community_resilience|housing|economic_development,medium ($100K-1M),"Direct tribal-government eligibility, no intermediary needed - 1,342 awards/10yr, median $800,000, federally-recognized tribal governments dominant identifiable category (348); plurality 'OTHER' (991) reflects the same HUD entitlement-coding quirk seen in hud_cdbg_dr/hud_esg.",https://www.hud.gov/program_offices/public_indian_housing/ih/grants/icdbg
noaa_climate_atmospheric_research,Climate and Atmospheric Research,federal,NOAA (Department of Commerce),11.431,direct_project,higher_ed|nonprofit_501c3,FALSE,FALSE,national,climate_adaptation|research,medium ($100K-1M),"1,116 awards/10yr, median $299,412, public/private higher ed dominant (765 combined), nonprofit 501c3 present (173). Direct fit for a university's climate-science/data-analytics research angle, sister program to doi_earthquake_hazards and doi_climate_adaptation_science_centers.",https://www.noaa.gov/
