program_id,program_name,funder_type,agency_or_funder,owner_org,cfda_number,funds_what,eligible_applicant_types,requires_government_intermediary,requires_match_funding,geography_scope,sector_tags,typical_award_size,notes,source_url
can_ps_red_cross_flood_fire,Supporting the Readiness of the Canadian Red Cross for Flood and Fire Seasons,federal,Public Safety Canada,ps-sp,,direct_project,nonprofit,FALSE,UNKNOWN,national,disaster_recovery|wildfire_management|flood_mitigation,large ($1M+),"Real recipient_type_breakdown (33 awards merged across 3 name variants, $298.7M total): Not-for-profit only (all to the Canadian Red Cross specifically, not an open competition). COVID-origin naming but explicitly scoped to flood and wildfire seasons, not just the pandemic - directly relevant to this batch's wildfire/flood test case, but realistically a single-named-recipient program (Red Cross), not a competitive grant a new applicant could apply to.",https://search.open.canada.ca/grants/
can_nrcan_flood_hazard_mapping,Flood Hazard Identification and Mapping Program,federal,Natural Resources Canada,nrcan-rncan,,direct_project,academia|indigenous|for_profit|other|government,FALSE,UNKNOWN,national,flood_mitigation|hazard_mitigation,small_to_medium (<$1M),"Real recipient_type_breakdown (19 awards, $5.9M total): Academia (7); Indigenous recipients (6); For-profit (3); Other (2); Government (1) - genuinely diverse direct access, the single best direct flood-specific fit found across both research passes (missed in the first wildfire-only-framed search, found in the systematic relevant-universe sweep instead - a real argument for the systematic sweep over keyword-guessing per test case).",https://search.open.canada.ca/grants/
can_nrcan_indigenous_fire_knowledge,Grants for Supporting and Mobilizing Indigenous Fire Knowledge,federal,Natural Resources Canada,nrcan-rncan,,direct_project,indigenous|other,FALSE,UNKNOWN,national,wildfire_management|indigenous_programs,small_to_medium (<$1M),"Real recipient_type_breakdown (10 awards, $3.9M total): Indigenous recipients (8); Other (2). NAME COLLISION RISK flagged explicitly: this is a real, distinct program from can_nrcan_wildland_fire_knowledge ('Building and Mobilizing Foundational Wildland Fire Knowledge') above - similar names, different program_id, different owner scope, confirmed as two separate real entries in the source data, not a duplicate.",https://search.open.canada.ca/grants/
can_nrcan_mountain_pine_beetle,Support to Mountain Pine Beetle Management in Alberta,federal,Natural Resources Canada,nrcan-rncan,,direct_project,government,UNKNOWN,UNKNOWN,national,wildfire_management|hazard_mitigation,large ($1M+),"Single real award: $60M to a government recipient. Directly relevant to this batch's 'prevent wildfire fuel buildup' framing - pine-beetle-killed trees are a major real wildfire fuel-load driver in Western Canada. n=1 means eligible_applicant_types/requires_government_intermediary are unconfirmed beyond this one data point, not a real distribution - flagged as thin evidence explicitly.",https://search.open.canada.ca/grants/
can_nrcan_national_aerial_wildfire,Contribution in Support of National Aerial Wildfire Capacity,federal,Natural Resources Canada,nrcan-rncan,,direct_project,other,UNKNOWN,UNKNOWN,national,wildfire_management|hazard_mitigation,large ($1M+),"Single real award: $316.75M, the single largest dollar amount found in this entire Canadian research effort - national aerial firefighting capacity (water bombers etc). n=1, recipient_type 'Other' on this one record - thin evidence, flagged explicitly, but too large a dollar figure to leave out of the table.",https://search.open.canada.ca/grants/
can_nrcan_wildfire_coe,Centre of Excellence for Wildland Fire Innovation and Resilience,federal,Natural Resources Canada,nrcan-rncan,,direct_project,other,UNKNOWN,UNKNOWN,national,wildfire_management|research,large ($1M+),"Single real award: $11.7M, brand new (no prior-year precedent). n=1, thin evidence flagged explicitly - a wildfire research-centre vehicle, real institutional capacity-building rather than a competitive per-project grant.",https://search.open.canada.ca/grants/
can_nrcan_climate_resilient_coastal,Climate-Resilient Coastal Communities Program,federal,Natural Resources Canada,nrcan-rncan,,direct_project,other|government|indigenous|international_ngo|academia|for_profit,FALSE,UNKNOWN,national,climate_adaptation|community_resilience,large ($1M+),"Real recipient_type_breakdown (25 awards, $29.0M total): broad mix, no single type dominant - coastal/flood-adjacent climate adaptation, not wildfire-specific but relevant to the flood half of community-resilience scenarios.",https://search.open.canada.ca/grants/
can_ced_lac_megantic_recovery,Lac-Megantic Economic Recovery Initiative,federal,Canada Economic Development for Quebec Regions,ced-dec,,direct_project,nonprofit|government,FALSE,UNKNOWN,quebec,disaster_recovery|economic_development,medium ($100K-1M),"Real recipient_type_breakdown (46 awards merged across 2 name variants, $45.3M total): Government and Not-for-profit. A real, specific-disaster recovery program (the 2013 Lac-Megantic rail derailment and fire) - rail/fire disaster precedent, regional scope (Quebec), almost certainly closed/historical given the disaster's age.",https://search.open.canada.ca/grants/
can_ced_gaspe_flooding,Support Initiative in Response to the Flooding in the Cote-de-Gaspe RCM,federal,Canada Economic Development for Quebec Regions,ced-dec,,direct_project,other,UNKNOWN,UNKNOWN,quebec,flood_mitigation|disaster_recovery,small_to_medium (<$1M),"27 awards (21 under Canada Economic Development for Quebec Regions, 6 also appear under 'Department of Justice Canada' as owner_org for the identical program name - a real cross-attribution oddity in the disclosure data, not investigated further, flagged rather than silently merged or silently picked one). A real, specific flood-disaster recovery program, regional scope (Gaspe, Quebec), recipient_type not recorded on any sampled row.",https://search.open.canada.ca/grants/
can_eccc_low_carbon_economy_fund,Low Carbon Economy Fund,federal,Environment and Climate Change Canada,ec,,direct_project,indigenous|government,FALSE,UNKNOWN,national,climate_adaptation,large ($1M+),"Real recipient_type_breakdown (9 awards, $82.2M total, latest 2026-03-30): Indigenous recipients (7); Government (2) - real, recent, Indigenous-majority climate funding. Generous-triage inclusion (Batch 3) - climate mitigation rather than direct hazard response, but genuinely active and relevant to a climate-resilience framing.",https://search.open.canada.ca/grants/
can_nrcan_outreach_engagement,Outreach and Engagement,federal,Natural Resources Canada,nrcan-rncan,,direct_project,other|international_ngo|academia|indigenous|for_profit,FALSE,UNKNOWN,national,wildfire_management|research|community_resilience,small_to_medium (<$1M),"Real recipient_type_breakdown (255 awards, $27.8M total, latest 2026-03-30): broad mix, no government dominance. NRCan's recurring general public-engagement vehicle - showed up repeatedly across the wildfire/forest keyword passes in this research, kept separate from the four dedicated wildfire programs since this one is broader-scope, not wildfire-specific by name.",https://search.open.canada.ca/grants/
can_hicc_green_inclusive_buildings,Green and Inclusive Community Buildings Program,federal,"Department of Housing, Infrastructure and Communities",infc,,direct_project,nonprofit|government|indigenous,FALSE,UNKNOWN,national,climate_adaptation|green_infrastructure|community_resilience,large ($1M+),"Real recipient_type_breakdown (96 awards, $589.7M total, latest 2026-03-26): Not-for-profit (22); Government (16); Indigenous recipients (13) - real nonprofit/Indigenous direct access, large dollar program. Generous-triage inclusion (Batch 3) - climate-adaptation retrofit funding, not direct hazard response, but large and active.",https://search.open.canada.ca/grants/
can_hicc_climate_resilient_infra,Supporting Climate Resilient Infrastructure Initiative,federal,"Department of Housing, Infrastructure and Communities",infc,,direct_project,other,UNKNOWN,UNKNOWN,national,climate_adaptation|hazard_mitigation,large ($1M+),"Only 2 real awards, $27.0M total, latest 2024-08-30, no recipient_type recorded. Thin evidence (n=2) flagged explicitly - included anyway per direct instruction to be generous with small/thin-evidence candidates rather than filter them out.",https://search.open.canada.ca/grants/
can_ps_iaff,International Association of Fire Fighters Canada - Contribution Programs,federal,Public Safety Canada,ps-sp,,direct_project,international_ngo,FALSE,UNKNOWN,national,wildfire_management|emergency_response,small_to_medium (<$1M),"Real recipient_type_breakdown (4 awards merged across 3 name variants including a 2017 Hazardous Materials Training Initiative line, $6.5M total, latest 2026-02-20): International (non-government) - all funding to the IAFF specifically (firefighter training/equipment), not an open competition. Small-dollar, real, fire-service-specific - kept per direct instruction not to filter out small grants.",https://search.open.canada.ca/grants/
can_ps_em_pacp,Emergency Management Public Awareness Contribution Program (EM PACP),federal,Public Safety Canada,ps-sp,,direct_project,nonprofit|other,FALSE,UNKNOWN,national,disaster_recovery|community_resilience,small_to_medium (<$1M),"Real recipient_type_breakdown (4 awards merged across name variants, $15.9M total): Not-for-profit (3); Other (1) - small program, real direct-nonprofit access, literally named for public emergency-management awareness work.",https://search.open.canada.ca/grants/
can_transport_risk_assessment,Transportation Assets Risk Assessment Initiative,federal,Transport Canada,tc,,direct_project,nonprofit|government|for_profit|academia,FALSE,UNKNOWN,national,climate_adaptation|hazard_mitigation,small_to_medium (<$1M),"Real recipient_type_breakdown (22 awards, $4.6M total): Not-for-profit (15); Government (4); For-profit (2); Academia (1) - climate/disaster risk assessment specifically for transportation infrastructure. Generous-triage inclusion (Batch 3).",https://search.open.canada.ca/grants/
can_ps_cscp,Cyber Security Cooperation Program (CSCP),federal,Public Safety Canada,ps-sp,,direct_project,nonprofit|academia,FALSE,UNKNOWN,national,hazard_mitigation|infrastructure,small_to_medium (<$1M),"Real recipient_type_breakdown (5 awards, $3.0M total): Not-for-profit (4); Academia (1). Critical-infrastructure-protection angle, not a natural hazard specifically - generous-triage inclusion (Batch 3), flagged as a different protection domain (cyber, not wildfire/flood) kept for completeness.",https://search.open.canada.ca/grants/
can_nrcan_cyber_critical_energy,Contributions in Support of Cyber Security and Critical Energy Infrastructure Protection,federal,Natural Resources Canada,nrcan-rncan,,direct_project,for_profit|other|academia,FALSE,UNKNOWN,national,hazard_mitigation|infrastructure,small_to_medium (<$1M),"Real recipient_type_breakdown (14 awards, $4.0M total): For-profit (7); Other (4); Academia (3). Same cyber/critical-infrastructure caveat as can_ps_cscp above - different protection domain from wildfire/flood, generous-triage inclusion.",https://search.open.canada.ca/grants/
can_nrcan_oil_spill_recovery_tech,Oil Spill Recovery Technology Development Program,federal,Natural Resources Canada,nrcan-rncan,,direct_project,academia|for_profit|indigenous|other,FALSE,UNKNOWN,national,hazard_mitigation,small_to_medium (<$1M),"Real recipient_type_breakdown (16 awards, $9.8M total): Academia (8); For-profit (6); Indigenous recipients (1); Other (1) - environmental-hazard response, a different hazard type (marine oil spill) from the wildfire/flood focus of this batch, generous-triage inclusion for hazard-response completeness.",https://search.open.canada.ca/grants/
can_nrcan_oil_spill_response_science,Oil Spill Response Science Program,federal,Natural Resources Canada,nrcan-rncan,,direct_project,for_profit|academia,UNKNOWN,UNKNOWN,national,hazard_mitigation,small_to_medium (<$1M),"Only 2 real awards, $0.5M total: For-profit (1); Academia (1). Thin evidence (n=2), same oil-spill hazard-type caveat as above, kept per the generous-triage instruction.",https://search.open.canada.ca/grants/
can_transport_rail_safety,Rail Safety Improvement Program: Infrastructure Technology and Research Component,federal,Transport Canada,tc,,direct_project,government|for_profit|academia|indigenous,FALSE,UNKNOWN,national,hazard_mitigation|infrastructure,medium ($100K-1M),"Real recipient_type_breakdown (42 awards, $47.1M total): Government (24); For-profit (15); Academia (2); Indigenous recipients (1) - rail infrastructure safety/risk research, a different hazard type from wildfire/flood (the 2013 Lac-Megantic rail disaster already in this table is the connective thread), generous-triage inclusion.",https://search.open.canada.ca/grants/
can_transport_airport_critical_infra,Airport Critical Infrastructure Program,federal,Transport Canada,tc,,direct_project,nonprofit|government,FALSE,UNKNOWN,national,hazard_mitigation|infrastructure,large ($1M+),"Real recipient_type_breakdown (5 awards, $26.5M total): Not-for-profit (4); Government (1) - the standalone, non-COVID-named variant only (the COVID-era 'Contributions to Support the Recovery of Canada's Airport System' naming was deliberately excluded as economic-recovery noise, same standard as the rest of this table) - this row is the ongoing critical-infrastructure-resilience program specifically.",https://search.open.canada.ca/grants/
can_dfo_coastal_zone_plans,"Contributions to Support the Development and Implementation of Coastal Zone Plans, Identify Restoration Priorities, Implement Projects, and Address Threats to Marine Species Located on Canada's Coasts",federal,Fisheries and Oceans Canada,dfo-mpo,,direct_project,nonprofit,FALSE,UNKNOWN,national,flood_mitigation|climate_adaptation,medium ($100K-1M),"Real recipient_type_breakdown (262 awards, $157.9M total): Not-for-profit organizations and charities (100% of typed awards) - the cleanest 100%-nonprofit direct-access program found in this entire Canadian research effort. Coastal-zone/restoration framing is conservation-adjacent rather than pure disaster-hazard, but coastal resilience is a real climate-adaptation angle - generous-triage inclusion, distinct from the excluded species-at-risk-only DFO programs (Habitat Stewardship, AFSAR, CMAPS, Whale Protection) which are kept out as genuine domain mismatches (biodiversity conservation, not hazard/disaster).",https://search.open.canada.ca/grants/
